net_value,stocks_count,stock_price,action
999.312572006319,40,24.93,4096
996.2649852430275,36,24.86,-4
995.7180591281956,40,24.85,4096
997.8109793377265,36,24.9175,-4
998.7507559081612,40,24.95,4096
998.3507559081612,40,24.94,4096
998.7507559081612,40,24.95,4096
992.5318096972516,36,24.8,-4
995.6997014180815,40,24.89,4096
994.8997014180816,40,24.87,4096
1000.8997014180815,40,25.02,4096
1000.5037014180815,40,25.0101,4096
999.73350409289,36,25.0,-4
1000.5648781152938,39,25.03,4096
987.3903745963428,35,24.67,-4
999.4888529749693,39,25.02,4096
997.5388529749692,39,24.97,4096
1005.3523536044969,35,25.19,-4
1007.7742976253442,39,25.26,4096
1009.3785573101419,35,25.31,-4
1012.9138264216704,39,25.21,4096
1014.1165549254189,35,25.2499,-4
1013.1395515124807,40,25.23,4096
1013.5395515124806,40,25.24,4096
1014.7446368051301,36,25.28,-4
1016.4861401494279,32,25.33,-4
1012.3849556001408,40,25.23,4096
1011.5849556001408,40,25.21,4096
1010.3998955634067,36,25.18,-4
1012.262815555682,40,25.23,4096
1009.4628155556819,40,25.16,4096
1009.862815555682,40,25.17,4096
1011.0628155556819,40,25.2,4096
1011.8628155556819,40,25.22,4096
1010.7777491288531,36,25.2,-4
1010.6033115062036,40,25.2,4096
1007.6829721126867,36,25.13,-4
1008.0561175756668,40,25.15,4096
1010.4561175756669,40,25.21,4
1014.0561175756668,40,25.3,4096
1012.4561175756669,40,25.26,4096
1010.8681175756669,40,25.2203,4096
1013.6561175756667,40,25.29,4096
1012.8561175756668,40,25.27,4096
1010.1330167016785,36,25.21,-4
1009.4709375492308,40,25.2,4096
1010.2709375492308,40,25.22,4096
1009.4709375492308,40,25.2,4096
1008.2709375492309,40,25.17,4096
1009.4709375492308,40,25.2,4096
1011.0709375492307,40,25.24,4096
1010.3682388827203,36,25.23,-4
1009.518476615056,32,25.22,-4
1009.3102318494562,40,25.23,4096
1008.0102318494562,40,25.1975,4096
1008.6927133498658,36,25.23,-4
1009.9756758930106,39,25.27,4096
1011.4788377577936,35,25.32,-4
1013.2219938044445,39,25.37,4096
1014.4153938044444,39,25.4006,4096
1019.8519938044444,39,25.54,4
1017.5470938044443,39,25.4809,4096
1019.0719938044444,39,25.52,4096
1019.4189690858265,35,25.54,-4
1019.3365030981568,39,25.54,4096
1020.8653030981568,39,25.5792,4096
1022.4565030981569,39,25.62,4096
1023.9424030981569,39,25.6581,4096
1016.9965030981568,39,25.48,4096
1015.3390030981568,39,25.4375,4096
1017.3865030981567,39,25.49,4096
1009.5865030981568,39,25.29,4096
1011.4203401040298,35,25.35,-4
1018.374727569681,39,25.54,4096
1011.9794023009654,35,25.37,-4
1011.6949438377334,39,25.37,4096
1017.7789438377333,39,25.526,4096
1014.8149438377333,39,25.45,4096
1016.380745450629,35,25.5,-4
1014.7453278231624,31,25.46,-4
1024.2656512217,39,25.32,4096
1027.004716175295,40,25.3899,4096
1018.6087161752951,40,25.18,4096
1023.408716175295,40,25.3,4096
1026.0286371758111,36,25.38,-4
1022.4693509909155,32,25.29,-4
1021.4364021980713,40,25.29,4096
1016.6364021980714,40,25.17,4096
1019.0364021980714,40,25.23,4096
1013.5662650886437,36,25.1,-4
1016.4677389126264,40,25.19,4096
1012.8637389126266,40,25.0999,4096
1015.6587979414415,36,25.1899,-4
1015.3665270949999,40,25.19,4096
1009.7665270949999,40,25.05,4096
1022.2567859541126,36,25.39,-4
1018.8793278717662,40,25.3,4096
1017.2793278717663,40,25.26,4096
1020.8793278717662,40,25.35,4096
1017.6626143794218,36,25.2785,-4
1019.6480016373854,40,25.3412,4096
1013.2120060081478,36,25.18,-4
1024.1507524874335,32,25.5,-4
1023.2371602242769,40,25.43,4096
1010.4371602242768,40,25.11,4
1007.0251602242768,40,25.0247,4096
1002.8371602242769,40,24.92,4096
1000.0371602242768,40,24.85,4096
1004.9335072819533,36,24.99,-4
1002.8372715498158,34,24.94,-2
997.5772539086888,40,24.82,4096
985.177253908689,40,24.51,4096
966.7772539086889,40,24.05,4096
948.7772539086889,40,23.6,4096
970.8454137993058,36,24.2,-4
965.234027233194,32,24.0075,-4
951.6567584651921,28,23.56,-4
951.8803153171664,24,23.52,-4
941.7985355986054,40,23.5,4096
964.1985355986055,40,24.06,4096
960.9895859756391,36,23.9801,-4
961.0935886524175,32,24.0,-4
965.9531255198415,28,24.18,-4
969.2384545375696,39,24.36,4096
966.0800914852796,35,24.28,-4
944.3044292598659,31,23.6271,-4
937.7024880592054,27,23.43,-4
933.1463813268432,23,23.27,-4
930.5975631594681,39,23.3428,4096
941.7944631594683,39,23.6299,4096
921.9083631594683,39,23.12,4096
923.8817631594682,39,23.1706,4096
916.4361393515858,35,22.98,-4
908.538297662136,39,22.76,4096
896.1428170652506,35,22.41,-4
903.5791611671191,31,22.6047,-4
914.562090552509,27,23.0,-4
907.9741404331185,23,22.75,-4
914.6134848997078,39,22.99,4096
909.356460941741,35,22.87,-4
916.0795253238915,39,23.06,512
921.1495253238917,39,23.19,512
926.3965102852128,35,23.35,-4
931.2070999376099,31,23.1,-4
951.8894877310669,40,23.5399,4096
913.7778735196113,36,22.56,-4
909.7401039734974,40,22.49,4096
917.6521228761478,36,22.71,-4
943.9673798967218,40,23.38,4096
934.4517275452981,36,23.17,-4
940.665709632844,40,23.3223,4096
942.5251228024149,36,23.3835,-4
942.1487571605105,32,23.3623,-4
951.9347521194908,28,23.7092,-4
954.6718762029643,39,23.8637,4096
966.9155365507097,40,24.17,4096
954.9155365507097,40,23.87,4096
945.7155365507097,40,23.64,4096
938.1155365507096,40,23.45,4096
958.5155365507097,40,23.96,4096
948.9875365507097,40,23.7218,4096
952.9831751710008,36,23.84,-4
934.6593692653064,32,23.3,-4
945.0905297593685,40,23.5208,4096
938.2910282482367,36,23.3324,-4
938.7784346054806,40,23.36,4
933.5784346054807,40,23.23,4096
935.9784346054805,40,23.29,4096
962.3784346054806,40,23.95,4096
972.7784346054807,40,24.21,4096
967.5784346054805,40,24.08,4096
967.5579098914591,36,24.1,-4
966.6740362815844,32,24.1,-4
964.0367361452941,28,24.0341,-4
964.7840643901525,24,24.09,-4
962.8342196095078,40,24.0517,4096
964.3536880485715,36,24.1,-4
965.1576916873694,40,24.1289,4096
968.0016916873693,40,24.2,4096
970.4016916873694,40,24.26,4096
967.6709779176933,36,24.209,-4
972.3167182617066,32,24.32,-4
972.514880391017,39,24.35,4096
977.8942103273649,35,24.5,-4
978.615271894451,31,24.53,-4
973.2964030436477,27,24.38,-4
960.2090513513513,39,24.06,4096
967.1435371133632,35,24.25,-4
974.1310568705707,39,24.4399,4096
964.7041079002133,35,24.1901,-4
964.2502363104338,31,24.17,-4
964.7002318875745,39,24.23,4096
967.8163318875745,39,24.3099,4096
957.6841318875745,39,24.0501,4096
967.0519318875745,39,24.2903,4096
970.9402318875746,39,24.39,4096
964.1600684070833,35,24.21,-4
970.5233902203161,31,24.4124,-4
972.9068240775041,35,24.5,4
981.2390151203213,39,24.74,4096
986.3090151203214,39,24.87,4096
991.3322151203213,39,24.9988,4096
991.3790151203214,39,25.0,4096
979.1779830853548,35,24.68,-4
982.8920849055077,31,24.7834,-4
990.424529595909,35,24.61,4
995.973245947826,40,24.75,4096
1005.973245947826,40,25.0,4096
1006.4901358551537,36,25.01,-4
1006.4413600860277,32,25.0201,-4
1002.6889362749955,28,24.92,-4
1005.9757091637043,24,25.05,-4
1002.8820526693919,40,24.901,4096
1003.3644238246163,36,24.921,-4
1004.8748122113147,40,24.97,4096
1000.589402110953,36,24.86,-4
1004.0381833436091,32,24.97,-4
1008.7739309758024,28,25.15,-4
1010.8386489623622,24,25.25,-4
1009.7974455487134,40,25.2031,4096
1009.6734455487134,40,25.2,4096
1009.8365084950342,36,25.215,-4
1005.7116324934268,32,25.1,-4
999.3208771432069,40,24.95,4096
1000.0252090249234,36,24.9763,-4
1000.5974925187345,40,24.9899,4096
998.6586109280237,36,24.95,-4
998.9573832311934,40,24.96,4096
1000.9480791058668,36,25.0209,-4
1000.676855001218,32,25.04,-4
1003.2528827633757,28,25.14,-4
997.3135505280121,24,24.92,-4
1003.7463339012077,39,25.1239,4096
1002.8142339012078,39,25.1,4096
1003.2042339012077,39,25.11,4096
1002.5485243962708,35,25.1,-4
998.5057071919448,31,24.9772,-4
1000.6965003942807,39,25.05,4096
1001.4765003942807,39,25.07,4096
1001.1879003942807,39,25.0626,4096
1004.1519003942807,39,25.1386,4096
1000.6965003942807,39,25.05,4096
1001.896015356245,35,25.081,-4
1005.4745318637108,31,25.2,-4
996.567467514154,39,24.95,4096
996.6691708334691,35,24.96,-4
997.4049309647843,39,24.98,4096
1000.1349309647843,39,25.05,4096
1002.0797402542794,35,25.1,-4
995.5398193937386,39,24.93,4096
996.3132731826557,35,24.9554,-4
995.8714317023071,39,24.9505,4096
996.0880138256118,35,24.9627,-4
989.9027693143577,39,24.811,4096
993.3737693143576,39,24.9,4096
991.4237693143577,39,24.85,4096
992.9837693143577,39,24.89,4096
997.2698693143576,39,24.9999,4096
998.8719280512042,35,25.05,-4
1007.7542406942232,39,25.3,4
1004.2442406942232,39,25.21,4096
1010.7867575302771,35,25.4,-4
1011.8349279651079,31,25.46,-4
1018.4362980122587,39,25.63,4096
1007.1262980122588,39,25.34,4096
1014.3716235220753,35,25.5446,-4
1010.6597438857509,39,25.47,4096
1013.2591227484746,35,25.5599,-4
1010.2651787171645,31,25.068,-4
1013.1230725478711,27,25.1749,-4
1012.0385555499092,23,25.1699,-4
1013.7286355821582,40,25.2499,4096
1013.7326355821582,40,25.25,4096
1001.3366355821582,40,24.9401,4096
1003.6947759789578,36,25.0122,-4
1011.3949116283773,32,25.24,-4
1005.8718430849524,40,25.1086,4096
1016.3278430849525,40,25.37,4096
1007.8354512635922,36,25.16,-4
1009.6873511441909,40,25.22,4096
1018.4873511441909,40,25.44,4096
1018.946328871928,36,25.48,-4
1021.8456384663849,32,25.59,-4
1025.85827461037,39,25.71,4096
1024.29827461037,39,25.67,4096
1019.8178622409582,35,25.55,-4
1019.7141583255491,31,25.55,-4
1018.441327019447,39,25.49,4096
1016.8813270194471,39,25.45,4096
1014.6583270194471,39,25.393,4096
1014.4387547440024,35,25.4,-4
1014.9593053748638,31,25.422,-4
1019.1115472848143,27,25.58,-4
1023.4683807385824,23,25.75,-4
1024.3082585697002,19,25.823,-4
1019.3406439151142,39,25.7,4096
1015.0400876794829,35,25.59,-4
1014.2020397167623,31,25.57,-4
1018.9757104933359,39,25.7099,4096
1001.8157104933359,39,25.2699,4096
1003.4576104933359,39,25.312,4096
1009.5299104933359,39,25.4677,4096
1001.0435104933359,39,25.2501,4096
1007.5643104933359,39,25.4173,4096
1001.1761104933358,39,25.2535,4096
994.0196104933359,39,25.07,4096
1007.5214104933359,39,25.4162,4096
1006.5152104933359,39,25.3904,4096
1001.0396104933359,39,25.25,4096
1008.0557104933359,39,25.4299,4096
1008.8396104933358,39,25.45,4096
1017.0296104933359,39,25.66,4096
1016.2496104933359,39,25.64,4096
1017.8096104933359,39,25.68,4096
1018.9796104933359,39,25.71,4096
1014.3978303841947,35,25.601,-4
1018.236845737362,31,25.7199,-4
1023.5788954189101,39,25.84,4096
1018.11889541891,39,25.7,4096
1013.2163272783788,35,25.578,-4
1013.2070275697819,31,25.58,-4
1019.9707004833344,39,25.7599,4096
1014.9007004833345,39,25.6299,4096
1011.0046004833346,39,25.53,4096
1006.4517864525382,35,25.416,-4
1010.975773271315,39,25.5469,512
1012.3091406828572,35,25.6,-4
1014.0147413330384,39,25.64,4096
1012.5834413330384,39,25.6033,4096
1009.3347413330383,39,25.52,4096
1016.5808623464281,35,25.74,-4
1019.2208528542594,39,25.8099,4096
1028.8304528542594,39,25.65,4096
1026.2170852919496,35,25.58,-4
1026.171363255244,31,25.58,-4
1028.4893646646456,27,25.6599,-4
1026.9466426367298,40,25.65,4096
1026.3946426367297,40,25.6362,4096
1031.972601555459,36,25.79,-4
1025.4759974107708,40,25.63,4096
1025.1859088131964,36,25.6301,-4
1030.6523757962843,39,25.79,4096
1032.5403172154686,35,25.86,-4
1030.6182404370936,39,25.8,4096
1032.6521135256846,35,25.88,-4
1029.2985603768689,31,25.798,-4
1024.8242892361166,39,25.68,4096
1025.2854564895413,35,25.68,-4
1027.4031940195032,39,25.75,4096
1030.4935241652727,35,25.86,-4
1024.8647122675218,31,25.7036,-4
1019.9160189548443,27,25.5399,-4
1031.473784280028,39,25.83,4096
1024.453784280028,39,25.65,4096
1033.423784280028,39,25.88,4096
1031.407484280028,39,25.8283,4096
1022.8937842800281,39,25.61,4096
1032.0275842800281,39,25.8442,4096
1028.151774714233,35,25.75,-4
1032.5932899198763,31,25.905,-4
1022.8637792882759,39,25.61,4096
1030.273779288276,39,25.8,4096
1030.273779288276,39,25.8,4096
1029.103779288276,39,25.77,4096
1025.9434972328609,35,25.6965,-4
1015.8796930458295,39,25.4262,4096
1014.8578930458294,39,25.4,4096
1015.5630712556579,35,25.42,-4
1012.8861726202433,39,25.35,4096
1027.384549026024,35,25.76,-4
1026.8929552129252,39,25.75,4096
1022.2909552129252,39,25.632,4096
1025.7016238716271,35,25.74,-4
1016.2743052685131,39,25.5,4096
1016.0483600940593,35,25.5,-4
1008.0888770783426,39,25.31,4096
1009.5824172540524,35,25.35,-4
1012.5833519870282,31,25.45,-4
1017.4090201337407,39,25.5852,4096
1012.64155840884,35,25.44,-4
1016.3763658221307,39,25.55,4096
1016.3763658221307,39,25.55,4096
1008.400538332199,35,25.35,-4
1002.9887734542039,39,25.21,4096
1011.6888232809416,35,25.45,-4
1004.3694162660296,39,25.27,4096
1009.4394162660295,39,25.4,4096
1011.3894162660296,39,25.45,4096
1010.9994162660297,39,25.44,4096
1006.2469323808806,35,25.32,-4
1011.524992498141,31,25.5,-4
1008.1829924981411,39,25.43,512
1003.6205308893628,35,25.31,-4
1005.1142942307744,39,25.36,4096
1004.2172942307744,39,25.337,4096
1011.5999942307744,39,25.12,4096
1001.1814835825668,40,24.86,4096
999.9814835825667,40,24.83,4096
989.745097903045,36,24.55,-4
985.7857677398193,40,24.49,4
968.1857677398194,40,24.05,4096
968.9826251986501,36,24.03,-4
993.1944039482481,40,24.72,4096
967.9944039482482,40,24.09,4096
972.3797889413308,36,24.21,-4
975.3560212199865,40,24.3,4096
974.1544981298493,36,24.29,-4
964.5515544765415,40,24.05,4096
955.3515544765414,40,23.82,4096
956.1515544765415,40,23.84,4096
989.3515544765415,40,24.67,4096
994.5515544765415,40,24.8,4096
1002.896016711529,36,25.04,-4
999.6040449965963,40,24.95,4096
993.6040449965963,40,24.8,4096
987.2040449965963,40,24.64,4096
968.3240449965963,40,24.168,4096
961.6040449965963,40,24.0,4096
963.6040449965963,40,24.05,4096
938.6440449965962,40,23.426,4096
