net_value,stocks_count,stock_price,action
1076.6720789143956,33,32.24,4096
980.2857817005257,29,29.0,-4
983.3251912186482,33,29.13,4
978.3751912186483,33,28.98,4096
1002.0708899731407,29,29.86,-4
1015.5564019027744,33,30.35,4096
1026.5848528002546,29,30.69,-4
1019.3054617373373,25,30.5,-4
957.4749646805868,21,27.7,-4
968.3927105842937,17,28.55,-4
954.4649387759598,13,27.52,-4
911.3159020564099,36,25.09,4096
908.0759020564099,36,25.0,4096
854.0759020564099,36,23.5,4096
893.033085587191,32,24.64,-4
895.7125581554399,36,24.74,4096
783.7281528891859,32,21.4,-4
791.3693490852277,36,21.6,4096
813.9310484767425,32,22.25,-4
800.6982234620043,28,21.9,-4
825.9006007763044,36,22.68,4096
836.0799149058948,32,23.06,-4
865.5298164320965,36,24.04,4096
849.5653623498579,32,23.51,-4
882.3083778543089,36,24.33,4096
813.5483778543091,36,22.42,4
781.148377854309,36,21.52,4
793.388377854309,36,21.86,4096
752.0982912865022,32,20.73,-4
734.4554507145295,36,20.2,4096
756.7926443931077,32,20.84,-4
730.9255436954912,28,20.05,-4
685.759277557699,24,18.4,-4
653.6323585736657,37,17.62,4096
658.4423585736656,37,17.75,4096
683.9723585736657,37,18.44,4096
672.8723585736657,37,18.14,4096
668.1516091608307,33,18.0,-4
628.6036292855767,37,16.78,4096
628.2336292855767,37,16.77,4096
647.1036292855767,37,17.28,4096
647.8436292855768,37,17.3,4096
667.0836292855768,37,17.82,4096
685.041567458267,33,18.29,-4
709.6635276951861,37,18.97,4096
705.593527695186,37,18.86,4096
749.993527695186,37,20.06,4096
778.5872666929754,33,20.93,-4
790.8881586936168,37,21.27,4096
782.0081586936169,37,21.03,4096
790.3140668632566,33,21.31,-4
778.3944464814915,37,20.94,4096
789.8644464814914,37,21.25,4096
771.3644464814914,37,20.75,4096
768.7921044386211,33,20.68,-4
781.9752797069588,37,21.06,4096
824.1552797069588,37,22.2,4096
849.2786707042397,33,22.88,-4
825.7609409357615,37,22.21,4096
854.9909409357615,37,23.0,4096
846.9894134583839,33,22.81,-4
827.9418719515527,37,22.29,4096
817.2118719515527,37,22.0,4096
797.2856632666101,33,21.46,-4
816.3843420327541,37,21.98,4096
846.7243420327542,37,22.8,4096
873.3643420327542,37,23.52,4096
845.2443420327542,37,22.76,4096
803.4343420327541,37,21.63,4096
