net_value,stocks_count,stock_price,action
1000.0,0,0.24,-4
1073.2480407396522,3156,0.34,4096
757.6480407396522,3156,0.24,4096
1041.6880407396523,3156,0.33,4096
1136.368040739652,3156,0.36,4
1231.0480407396524,3156,0.39,4096
1262.5830225347906,3152,0.4,-4
1105.1782225347904,3148,0.35,-4
1230.9912666005878,3144,0.39,-4
1105.2445104829433,3140,0.35,-4
1104.6364726192705,3155,0.35,4096
1151.9754226192706,3156,0.365,4
1230.8754226192707,3156,0.39,4096
1215.0954226192705,3156,0.385,512
1262.4354226192706,3156,0.4,4096
1104.6354226192705,3156,0.35,4096
1136.1954226192704,3156,0.36,4096
1262.4354226192706,3156,0.4,4
1136.2752300943075,3152,0.36,-4
915.3509100943074,3156,0.29,4096
883.6331100943074,3156,0.27995,4096
820.6709100943076,3156,0.26,4096
883.4872994453865,3152,0.2799,-4
885.3820242718484,3148,0.2805,-4
915.3795210380358,3156,0.29,4096
946.8616649670334,3152,0.3,-4
899.6380649670335,3148,0.285,-4
1009.7081299131097,3144,0.32,-4
1261.6021932670485,3154,0.4,4096
1009.5973932670483,3150,0.32,-4
1119.9835532670481,3154,0.355,4096
978.0535532670484,3154,0.31,4096
1167.0448747849239,3150,0.37,-4
1041.1087391140022,3146,0.33,-4
1019.0228191140023,3154,0.323,4096
1019.051612242222,3150,0.323,-4
1104.2366777270224,3154,0.35,4
858.1841899362894,3155,0.272,4096
891.9426899362893,3155,0.2827,4096
978.0741899362893,3155,0.31,4096
1038.0191899362894,3155,0.329,4096
820.5962419362893,3151,0.26,-4
1009.6843741471938,3155,0.32,4096
915.1505341471938,3151,0.29,-4
883.5797989967023,3147,0.28,-4
763.6830789967021,3155,0.242,4096
763.683721854803,3151,0.242,-4
875.9536971736223,3155,0.2776,4096
757.3256971736222,3155,0.24,4096
820.6560343845362,3151,0.26,-4
883.7139923412994,3156,0.28,4096
823.7499923412994,3156,0.261,4096
883.3983923412993,3156,0.2799,4096
883.7139923412994,3156,0.28,4096
883.6309221913159,3152,0.28,-4
852.2654545384086,3155,0.27005,4096
1088.39674162736,3151,0.345,-4
946.7075683764502,3147,0.3,-4
994.0253683764504,3155,0.315,4096
1104.4081778217385,3151,0.35,-4
1101.3606663463906,3155,0.349,4096
988.7271663463907,3155,0.3133,4096
1009.8656663463906,3155,0.32,4096
883.6656663463907,3155,0.28,4096
1104.4099953792086,3151,0.35,-4
1104.3605700885107,3155,0.35,4096
883.5105700885109,3155,0.28,4096
883.7737818766917,3151,0.28,-4
883.67671352989,3155,0.28,4096
1009.8767135298899,3155,0.32,4096
844.2308980338677,3151,0.26745,-4
852.3023522965981,3156,0.27,4096
836.5092963647544,3152,0.265,-4
1009.7738189970898,3148,0.32,-4
946.8039905862832,3144,0.3,-4
1009.8940905862834,3155,0.32,4096
947.1765795855091,3151,0.3001,-4
962.578859103981,3155,0.305,4096
1009.9038591039811,3155,0.32,4096
946.803859103981,3155,0.3,4096
946.802578508936,3156,0.3,4096
946.798978508936,3152,0.3,-4
1088.485403043025,3148,0.345,-4
962.7026764675423,3155,0.3051,4096
978.1621764675424,3155,0.31,4096
978.1621764675424,3155,0.31,4096
1009.7012078669603,3151,0.32,-4
993.8929507875895,3155,0.315,4096
1088.2274507875893,3155,0.3449,4096
890.4089507875894,3155,0.2822,4096
946.5679507875894,3155,0.3,4096
1072.6043507875895,3151,0.34,-4
949.9590254831257,3154,0.3011,4096
930.7196254831258,3154,0.295,4096
899.2059110952782,3150,0.285,-4
883.4266360952785,3155,0.28,4096
851.87894118823,3151,0.27,-4
804.98540118823,3147,0.2551,-4
859.682116534382,3155,0.27245,4096
827.3792970305655,3151,0.2622,-4
810.9701506305655,3155,0.257,4096
820.4351506305655,3155,0.26,4096
914.9694812518711,3151,0.29,-4
820.3323262293684,3155,0.26,4096
865.4107982715628,3151,0.2743,-4
788.8488793708148,3147,0.25,-4
836.2051292919625,3154,0.26505,4096
789.1524262478853,3150,0.2501,-4
939.8425276478278,3146,0.298,-4
1037.1797760971626,3142,0.329,-4
851.6135105439297,3154,0.27,4096
804.9544678406637,3150,0.2552,-4
807.4362491636571,3153,0.256,4096
807.4354811636571,3154,0.256,4096
820.0514811636572,3154,0.26,4096
820.0514811636572,3154,0.26,4096
820.0514811636572,3154,0.26,4096
820.0483611636571,3150,0.26,-4
851.5852411636571,3154,0.27,4096
820.0820011636571,3150,0.26,-4
850.4835354331203,3154,0.26965,4096
820.0474354331204,3154,0.26,4096
820.0474354331204,3154,0.26,4096
820.6877980690748,3150,0.2602,-4
788.5479069960982,3154,0.25,4096
788.5479069960982,3154,0.25,4096
914.56113046971,3150,0.29,-4
788.7538204697101,3153,0.2501,4096
851.4985204697102,3153,0.27,512
883.0285204697102,3153,0.28,4096
914.5585204697101,3153,0.29,4096
1403.43117046971,3153,0.44505,4096
1450.5685204697102,3153,0.46,4096
1576.6800449444886,3149,0.5,-4
1353.1955265482711,3145,0.429,-4
1353.287266491318,3154,0.429,4096
1198.8765687487037,3150,0.38,-4
1308.9840984444554,3154,0.415,4096
1293.2140984444554,3154,0.41,4
1482.2723985967239,3150,0.47,-4
1387.6790795472748,3153,0.44,4096
1324.4614295472747,3153,0.41995,4096
1324.5494981465638,3149,0.42,-4
1671.2515176726304,3153,0.53,512
1576.6615176726302,3153,0.5,4096
1639.6138793905182,3149,0.52,-4
1608.1879074176193,3153,0.51,4096
1420.5844074176193,3153,0.4505,4096
1482.0679074176192,3153,0.47,4096
1481.8460243640598,3149,0.47,-4
1387.3371628860718,3153,0.44,4096
1513.457162886072,3153,0.48,4096
1481.9626520731513,3149,0.47,-4
1403.2555574014266,3145,0.445,-4
1324.7239555108135,3141,0.42,-4
1418.6907251216426,3137,0.45,-4
1262.0384581216424,3133,0.400001,-4
1308.8568578678364,3153,0.415,4096
1198.5018578678366,3153,0.38,4096
1198.4502154900122,3149,0.38,-4
1229.9470988763524,3153,0.39,4096
1152.6985988763522,3153,0.3655,4096
1103.8270988763522,3153,0.35,4096
1040.7670988763523,3153,0.33,4096
1044.2353988763523,3153,0.3311,4096
1040.7670988763523,3153,0.33,4096
1040.7631388763523,3149,0.33,-4
993.553196638431,3154,0.314999,4096
898.9953594207474,3150,0.285,-4
902.170251851177,3146,0.286,-4
921.0627441289528,3154,0.292,4096
1040.8532945351724,3150,0.33,-4
893.0778481215823,3154,0.2831,4096
1041.0004481215822,3154,0.33,4096
914.8404481215822,3154,0.29,4096
1009.4604481215822,3154,0.32,4096
924.5641081215822,3150,0.29305,-4
886.4948433780274,3154,0.281,4096
915.1564713780274,3150,0.2901,-4
1239.0367723455945,3146,0.393,-4
1071.7443905945102,3152,0.3399,4096
1154.0115905945104,3152,0.366,4096
1261.1734857651015,3148,0.4,-4
1242.559052862717,3153,0.394,4096
1103.8270528627168,3153,0.35,4
1040.7670528627168,3153,0.33,4
1156.1668528627167,3153,0.3666,4096
1258.190053662717,3149,0.399,-4
