net_value,stocks_count,stock_price,action
1000.0,0,40.05,-4
1000.0,0,41.41,-4
1020.0892744459816,24,42.3,4096
1020.5692744459817,24,42.32,4096
993.6892744459817,24,41.2,4096
1016.7292744459816,24,42.16,4096
1028.9692744459817,24,42.67,4096
1061.3692744459818,24,44.02,4096
1079.6092744459816,24,44.78,4096
1100.9692744459817,24,45.67,4096
1083.1732590956597,20,44.85,-4
1051.6225229577835,24,43.58,4096
1029.3025229577834,24,42.65,4096
1018.2389632197085,20,42.15,-4
1004.1982536965419,24,41.4,4096
1011.6382536965419,24,41.71,4096
1043.4759496947177,20,43.21,-4
1079.6349119637373,24,44.86,4096
1103.6349119637373,24,45.86,4096
1109.3949119637375,24,46.1,4096
1112.9949119637374,24,46.25,4096
1106.9949119637374,24,46.0,4096
1094.114775189223,20,45.55,-4
1090.1993380131837,24,45.36,4096
1066.527815880106,20,44.4,-4
1032.8253550164352,24,43.0,4096
997.7853550164352,24,41.54,4096
1062.8253550164352,24,44.25,4096
1015.2405603339894,20,42.0,-4
1002.2967095914777,24,41.59,4096
991.4967095914776,24,41.14,4096
970.3767095914776,24,40.26,4
950.9367095914777,24,39.45,4096
937.7367095914775,24,38.9,4096
934.2525384913524,20,38.72,-4
918.9935627696975,24,38.1,4096
873.8772928651812,20,35.7,-4
895.5166614517567,24,36.64,4096
918.3166614517568,24,37.59,4096
983.872966943292,20,40.69,-4
945.9160372118531,16,38.49,-4
970.7468468380346,24,40.01,4096
964.2668468380346,24,39.74,4096
972.7611231792478,20,40.08,-4
1002.8052448717008,16,41.88,-4
1014.8732123345881,14,42.68,-2
1006.9144413247491,10,42.03,-4
989.2057329595805,6,39.65,-4
990.8679781912392,2,39.09,-4
1035.5988690071986,24,41.9,512
1031.5188690071986,24,41.73,4096
1022.1588690071989,24,41.34,4096
1048.7988690071988,24,42.45,4096
1042.7988690071988,24,42.2,4096
1017.1188690071989,24,41.13,4096
1029.0411915014145,20,41.78,-4
1020.9190195149066,24,41.48,4096
1035.5590195149068,24,42.09,4096
1025.9590195149067,24,41.69,4096
1019.7190195149066,24,41.43,4096
1036.5190195149069,24,42.13,4096
1034.0875493001097,20,42.0,-4
1031.6801816828147,24,41.85,4096
988.9742114903368,20,39.74,-4
961.9567834194422,24,38.55,4096
942.1101924609318,20,37.66,-4
952.2781009423471,25,38.01,4096
953.0281009423471,25,38.04,4
902.0281009423471,25,36.0,4096
893.5073769413032,21,35.66,-4
896.7389209047758,17,35.94,-4
900.9319098196249,24,36.14,4096
864.6904479470677,20,34.4,-4
882.5419661224312,16,35.59,-4
844.5745529462006,12,32.71,-4
854.5816005771228,8,33.73,-4
856.3627983838288,4,34.1,-4
833.766013531639,24,33.38,4096
857.9898312976925,20,34.5,-4
923.6353134320406,24,37.5,4096
915.5706845235673,20,37.16,-4
906.6794299709829,16,36.56,-4
935.8504565260995,20,37.97,4
885.5530124472168,24,35.65,4096
903.9130124472169,24,36.415,4096
926.113012447217,24,37.34,4096
914.8330124472168,24,36.87,4096
932.3267396305466,20,37.6,-4
933.3051021309709,24,37.49,4096
920.5851021309709,24,36.96,4096
927.5451021309709,24,37.25,4096
894.9051021309709,24,35.89,4096
885.3051021309709,24,35.49,4096
878.1051021309709,24,35.19,4096
938.9805597734863,20,38.23,-4
980.8644607840888,16,40.435,-4
983.9163461295009,24,40.55,4096
1002.454629133646,20,41.57,-4
1028.9747928561237,24,42.75,4
999.0578951905991,20,41.36,-4
1009.9675375981869,24,41.85,4
1014.552573751581,20,42.09,-4
1034.917100247105,16,43.05,-4
1035.031094186272,24,42.85,4096
1062.6310941862719,24,44.0,4096
1067.431094186272,24,44.2,4096
1051.5668737300539,20,43.55,-4
1073.2551452821585,24,44.42,4096
1082.1078872396652,20,44.86,-4
1071.249194352913,24,44.41,4096
1081.076842495635,20,44.66,-4
1055.9901439908635,16,43.12,-4
1046.7866032763063,12,42.41,-4
1054.1026589190856,24,43.07,4096
1052.4226589190857,24,43.0,4096
1066.420894824218,20,43.72,-4
1097.8122810602645,24,45.03,4096
1124.6922810602643,24,46.15,4096
1115.9799364518299,20,45.94,-4
1101.6721037689204,24,45.4,4096
1078.0713121736992,20,44.29,-4
1065.9966242927721,24,43.82,4096
1064.7966242927723,24,43.77,4096
1057.596624292772,24,43.47,4096
1098.739824292772,24,44.55,4096
1090.8362894768786,20,44.27,-4
1127.029665429652,16,46.24,-4
1141.1743468641157,23,47.63,4096
1131.2843468641158,23,47.2,512
1106.4729150611327,19,45.95,-4
1154.4652450046917,24,48.0,4096
1165.265245004692,24,48.45,4096
1131.4252450046918,24,47.04,4096
1111.351768096312,20,46.01,-4
1107.606067871201,16,46.0,-4
1100.57096444623,12,45.39,-4
1114.4009180365972,16,46.74,4
1124.6916364840577,23,47.26,4096
1119.3390320045178,19,47.15,-4
1073.2384558235105,23,45.2,4096
1076.148547187674,19,45.43,-4
1064.0663422741,15,44.44,-4
1077.1270046156155,23,45.16,4096
1059.6470046156157,23,44.4,4096
1047.197901663524,19,43.92,-4
1043.2653606763433,23,43.79,4096
1013.5953606763433,23,42.5,4096
1022.7953606763432,23,42.9,4096
1018.8853606763432,23,42.73,4096
1061.2053606763432,23,44.57,4096
1034.0653606763433,23,43.39,4096
1038.4353606763432,23,43.58,4096
1011.4740790072076,19,42.16,-4
1048.6553681937721,23,43.85,4096
1050.035368193772,23,43.91,4096
986.0953681937721,23,41.13,4096
917.1168281142313,19,38.14,-4
887.9398845566535,24,36.8,4096
891.8998845566537,24,36.965,4096
937.5254842001924,20,39.14,-4
926.8355383096435,23,38.65,4096
922.2092135878781,19,38.38,-4
904.1361597560544,24,37.55,4096
937.0161597560545,24,38.92,4096
949.7361597560546,24,39.45,4096
918.9193146501158,20,37.9,-4
924.160708241517,16,38.17,-4
927.8587531518987,24,38.475,4096
953.6587531518985,24,39.55,4096
939.6505652306303,20,38.86,-4
957.0294798197286,16,40.0,-4
963.9154584795122,20,40.5,4
962.6899725871222,16,40.61,-4
954.0297777923449,20,40.26,4
971.8447283851402,23,41.1525,4096
963.7372283851402,23,40.8,4096
971.5572283851402,23,41.14,4096
943.9304933646438,19,39.8,-4
942.1269072910989,23,39.72,4096
