net_value,stocks_count,stock_price,action
1000.0,0,30.4,-4
1000.0,0,30.47,-4
1004.1553512405636,32,30.58,4096
1011.5153512405636,32,30.81,4096
1023.5506925260122,28,31.22,-4
1008.7053681934188,32,30.76,4
1001.0253681934188,32,30.52,4096
1026.3053681934189,32,31.31,4096
1029.1240537156941,28,31.4,-4
1041.414236995395,32,31.78,4096
1057.7568054151538,28,32.34,-4
1055.4337120034045,32,32.29,4096
1048.7137120034045,32,32.08,4096
1035.3794912292738,28,31.66,-4
1034.4993140418471,32,31.62,4096
1018.1793140418472,32,31.11,4096
1026.1793140418472,32,31.36,4096
1039.9585140418471,32,31.66,4096
1038.998514041847,32,31.63,4096
1030.1811294285362,28,31.35,-4
1029.1440600428782,24,31.3,-4
1026.0684184150805,32,31.22,4096
1028.6776262850997,28,31.28,-4
1032.3724719438433,32,31.42,4096
1031.143597511424,28,31.4,-4
1031.029853568856,32,31.38,4096
1018.8698535688559,32,31.0,4096
1015.3498535688559,32,30.89,4096
1019.7303419794373,28,31.05,-4
1011.9495621126279,32,30.81,4096
1019.9495621126279,32,31.06,4096
1025.709562112628,32,31.24,4096
1042.315979818035,28,31.78,-4
1044.1915498253998,32,31.86,4096
1031.3166998136417,28,31.47,-4
1033.4974375132142,32,31.53,4096
1031.4610348541175,28,31.47,-4
1019.9241406310197,32,31.07,4096
1013.6777406310196,32,30.74,4096
1006.3158423843552,28,30.52,-4
1003.9630233147074,32,30.47,4096
1011.6430233147074,32,30.71,4096
1001.4030233147074,32,30.39,4096
1006.1114435628422,28,30.57,-4
1004.7858648981482,24,30.51,-4
1006.3308420514106,20,30.6,-4
1021.111177274406,32,31.29,4096
1008.9646175223506,28,30.89,-4
1010.3250096807905,32,30.94,4096
1010.6450096807904,32,30.95,4096
1007.3215683146466,28,30.85,-4
1011.505956196926,32,30.98,4096
1027.1859561969259,32,31.47,4096
1030.7059561969259,32,31.58,4096
1019.825956196926,32,31.24,4096
1019.715434034723,28,31.27,-4
1023.8503221472704,32,31.41,4096
1022.5703221472704,32,31.37,4096
1049.1303221472704,32,32.2,4096
1051.6903221472703,32,32.28,4096
1052.7279848890707,28,32.22,-4
1055.1680197133346,24,32.34,-4
1062.389968332348,20,32.71,-4
1062.9110177285206,32,32.85,4096
1060.9364284206329,28,32.78,-4
1065.0895711233943,32,32.94,4096
1065.7295711233944,32,32.96,4096
1066.244045455745,28,32.98,-4
1067.7685126261822,32,33.06,4096
1044.0885126261821,32,32.32,4096
1041.8485126261821,32,32.25,4096
1034.168512626182,32,32.01,4096
1026.8085126261822,32,31.78,4096
1025.00828897248,28,31.75,-4
1026.543541539636,24,31.8,-4
1029.596698169003,20,31.87,-4
1040.9165515212594,32,32.26,4096
1027.771751267151,28,31.85,-4
1036.7096575666906,24,32.22,-4
1042.759532830391,20,32.55,-4
1047.0948625376006,16,32.76,-4
1042.8578094132988,31,32.71,4096
1052.1257919028449,27,32.87,-4
1042.7408482601522,23,32.44,-4
1048.343391738795,19,32.72,-4
1057.8765093627399,31,33.13,4096
1055.08650936274,31,33.04,4096
1063.1549690833442,27,33.33,-4
1057.4908995560224,31,33.14,4096
1053.5679764765976,27,33.0,-4
1053.899727272166,23,33.05,-4
1058.9009824753396,19,33.3,-4
1051.9345690660937,15,32.92,-4
1059.9366734539008,31,33.2,4096
1050.6366734539006,31,32.9,4096
1045.347798317012,27,32.76,-4
1035.3782459060988,31,32.41,4096
1038.7882459060988,31,32.52,4096
1043.577025830242,27,32.7,-4
1041.638794976796,23,32.64,-4
1045.254425702139,19,32.8,-4
1045.4529817258608,0,32.71,-2048
1036.4867604780463,31,32.62,4096
1030.4466113716055,27,32.29,-4
1031.2915397165625,23,32.32,-4
1038.9006209231266,31,32.65,4096
1042.4376736304798,27,32.78,-4
1028.5047110153564,31,32.36,4096
1021.4249819536949,27,32.12,-4
1008.8164056039654,31,31.73,4
1026.7964056039655,31,32.31,4096
1029.2764056039655,31,32.39,4096
1022.4564056039655,31,32.17,4096
1015.776646853631,27,31.95,-4
1020.5797742069265,23,32.2,-4
1013.1144921482985,31,31.96,4096
1020.2444921482984,31,32.19,4096
1010.7990979697312,27,31.88,-4
1016.4234639185798,23,32.13,-4
1017.842140616543,31,32.15,4096
1037.9927842596594,27,32.86,-4
1067.2404025224173,31,33.82,4096
1073.7504025224173,31,34.03,4096
1080.5699916356684,27,34.28,-4
1095.4851716930152,31,34.79,4096
1103.5451716930152,31,35.05,4096
1103.3191440779383,27,35.04,-4
1101.9921310795562,31,34.9,4
1095.5760606703539,27,34.69,-4
1108.3812861229487,31,35.12,4096
1110.9577353989948,27,35.2,-4
1105.4862107404542,31,34.99,4096
1099.5962107404541,31,34.8,4096
1089.9862107404542,31,34.49,4096
1084.9711675602778,27,34.35,-4
1075.1642115876502,31,34.03,4096
1075.7842115876501,31,34.05,4096
1087.5642115876499,31,34.43,4096
1078.2642115876502,31,34.13,4096
1076.578142562393,27,34.09,-4
1080.3328863047464,23,34.26,-4
1079.169625862585,31,34.26,4096
1093.429625862585,31,34.72,4096
1091.7166872154385,27,34.55,-4
1081.789528738624,23,34.11,-4
1085.9656201624186,19,34.3,-4
1085.2328398199895,31,34.22,4096
1075.0832376212074,27,33.9,-4
1083.3532192113012,31,34.19,4096
1069.8612104935423,27,33.79,-4
1072.0974072953213,23,33.91,-4
1082.777296769664,19,34.45,-4
1076.6197397140638,15,34.08,-4
1068.6727857959106,31,33.9,4096
1097.0712314971092,27,34.82,-4
1123.5834919304723,31,35.76,4
1110.2142620056898,27,35.33,-4
1103.6163414688792,31,35.08,4
1108.874023439636,27,35.27,-4
1109.8985676371012,31,35.36,4096
1120.8358356215913,27,35.75,-4
1128.1449210259927,31,36.02,4
1125.3549210259926,31,35.93,4096
1119.1781900048422,27,35.71,-4
1123.6798476694537,31,35.75,4096
1130.8098476694536,31,35.98,4096
1132.48413297545,27,36.06,-4
1128.1663504856417,23,35.89,-4
1125.7767217651815,19,35.79,-4
1132.976136100292,15,36.13,-4
1124.2599623375077,31,35.87,4096
1129.3668687914978,27,36.05,-4
1125.5482515976598,31,35.92,4096
1137.0182515976599,31,36.29,4096
1128.3382515976598,31,36.01,4
1115.376349621521,27,35.57,-4
1112.2713972262309,31,35.48,4096
1104.7713386105013,27,35.2,-4
1111.2139838069843,31,35.45,4096
1110.9039838069841,31,35.44,4096
1112.4539838069843,31,35.49,4096
1118.6539838069841,31,35.69,4
1115.5539838069844,31,35.59,4096
1111.8443406899994,27,35.5,-4
1121.0111276518544,31,35.69,4096
1126.9011276518545,31,35.88,4096
1129.6961098613053,27,35.97,-4
1155.7544022418022,23,37.15,-4
1160.1863933559584,31,37.28,4096
1166.3090412901956,27,37.51,-4
1178.5219636515299,31,37.95,4
1179.2566235563245,27,38.0,-4
1172.8694980055814,31,37.78,4096
1184.9594980055813,31,38.17,4096
1182.1694980055813,31,38.08,4096
1176.5894980055812,31,37.9,4
1178.3929929754388,27,37.95,-4
