net_value,stocks_count,stock_price,action
1017.7003370590974,73,13.91,4096
1019.8903370590973,73,13.94,4096
1010.4003370590973,73,13.81,4096
1018.0487706015246,69,13.92,-4
1015.661564731122,65,13.89,-4
1021.8783479180161,72,14.0,4096
1025.4783479180162,72,14.05,4096
1016.8383479180161,72,13.93,4096
1028.7230482377356,68,14.1,-4
1016.1066272378497,64,13.91,-4
1009.7436430387709,60,13.81,-4
971.7629666378414,73,13.24,4096
987.8229666378414,73,13.46,4096
999.1502637530788,69,13.61,-4
985.9679289558644,65,13.41,-4
997.4826403393424,61,13.6,-4
1011.1724844362595,73,13.8,4096
1022.1224844362594,73,13.95,4096
1084.9024844362596,73,14.81,4096
1062.5340839908663,69,14.5,-4
1055.1278473666493,73,14.4,4096
1068.9978473666492,73,14.59,4096
1054.3978473666493,73,14.39,4
1026.6578473666493,73,14.01,4096
1032.4978473666492,73,14.09,4096
1026.6578473666493,73,14.01,4096
1028.1178473666494,73,14.03,4096
1025.1978473666493,73,13.99,4096
1022.2778473666493,73,13.95,4096
1028.0900190701243,69,14.04,-4
1012.3277571090515,73,13.81,512
988.9677571090515,73,13.49,4096
971.4477571090515,73,13.25,4096
970.7177571090515,73,13.24,4096
953.5254684985946,69,13.0,-4
941.2796349061871,65,12.82,-4
958.2340591450363,73,13.06,4096
969.1840591450364,73,13.21,4096
980.8640591450363,73,13.37,4096
999.1140591450363,73,13.62,4096
993.2740591450363,73,13.54,4096
1007.5090591450363,73,13.6,4096
1035.5738575103744,69,13.99,-4
1046.7070692052728,65,14.16,-4
1083.1468968647937,61,14.73,-4
1081.6890216332104,57,14.71,-4
1081.5829082797786,73,14.676,4096
1073.6047333273145,69,14.58,-4
1065.3789343661429,65,14.46,-4
1058.5279268263741,73,14.3731,4096
1046.6216268263743,73,14.21,4096
1057.7606216685936,69,14.38,-4
1073.4931481925803,73,14.6,4096
1089.9121530512443,69,14.83,-4
1087.1816140868941,73,14.79,4096
1101.3562895159862,69,14.99,-4
1076.8451665226344,73,14.64,4096
1075.9238173930714,69,14.62,-4
1061.6716103575388,73,14.43,4096
1076.464063190817,69,14.64,-4
1069.8470392227514,73,14.55,4096
