net_value,stocks_count,stock_price,action
1000.0,0,77.04,-4
999.4871815856976,12,77.36,4096
1008.224827458784,8,78.67,-4
1011.791118717467,4,79.51,-4
1016.8985778145963,12,80.36,4096
1004.1785778145962,12,79.3,4
1005.9785778145964,12,79.45,4096
992.6585778145964,12,78.34,4096
989.5385778145964,12,78.08,4096
958.6985778145964,12,75.51,4
953.024209601793,8,75.22,-4
954.1389611870193,12,75.79,4096
947.7925093083904,8,74.94,-4
961.8484147241297,12,76.34,4096
967.7284147241296,12,76.83,4096
990.0484147241295,12,78.69,4096
1006.4884147241296,12,80.06,4096
979.7284147241296,12,77.83,4096
996.8884147241297,12,79.26,4096
980.3185101024781,8,77.62,-4
973.4570931850282,12,77.4,4096
987.6170931850281,12,78.58,4096
992.8836261939077,8,78.84,-4
998.9408361298091,12,79.71,4096
1004.4333628813242,8,80.17,-4
997.1144078245961,12,79.77,4096
993.0720254125195,8,79.57,-4
1008.7608357523015,12,80.61,4096
1001.6808357523016,12,80.02,4096
992.1221149115838,8,79.33,-4
1004.8609759266044,4,81.43,-4
1001.0647741612488,12,81.19,4096
1009.2247741612489,12,81.87,4096
999.3161234260733,8,81.39,-4
1003.931870532238,12,81.8,4096
1017.4918705322382,12,82.93,4096
1021.5120410992371,8,83.33,-4
1029.9958525580291,12,84.33,4096
1028.802202114852,8,84.33,-4
1035.4050804728931,12,85.03,4096
1040.5650804728932,12,85.46,4096
1036.7888857348103,8,85.46,-4
1035.6668552588249,4,85.5,-4
1042.6753800920305,12,86.23,4096
1053.7464917217296,8,87.82,-4
1050.5480263644288,4,87.57,-4
1049.2922657325794,0,88.49,-4
1049.2922657325794,0,88.95,-4
1049.2922657325794,0,88.24,-4
1052.6610576785797,12,87.31,4096
1058.1810576785797,12,87.77,4096
1052.265735719047,8,87.21,-4
1052.714791571241,12,87.28,4096
1038.7358388976295,8,85.68,-4
1044.2439911511278,12,86.21,4096
1056.5820641769963,8,87.54,-4
1061.036904234922,12,88.02,4096
1060.3169042349223,12,87.96,4096
1063.4369042349222,12,88.22,4096
1059.3569042349222,12,87.88,4096
1061.8769042349222,12,88.09,512
1046.1296788605648,8,86.56,-4
1017.7431223333499,12,84.27,4096
1008.7068948191196,8,83.73,-4
1009.1050576385123,12,83.7,4096
1010.6650576385123,12,83.83,4096
1006.4650576385122,12,83.48,4096
1006.2250576385122,12,83.46,4096
1006.3450576385122,12,83.47,4096
991.2250576385122,12,82.21,4096
985.5850576385121,12,81.74,4096
987.1450576385123,12,81.87,4096
987.5050576385123,12,81.9,4
995.5692231402727,8,82.57,-4
999.2513021323095,4,83.01,-4
992.5973463256091,0,82.47,-4
988.8236482967875,12,82.37,4096
983.4153697262159,8,82.0,-4
983.6627463642672,4,81.99,-4
983.9812934355799,0,81.37,-4
978.9705978709757,11,81.79,4096
982.6005978709757,11,82.12,4096
983.2605978709756,11,82.18,4096
985.7905978709756,11,82.41,4096
1003.9405978709757,11,84.06,4096
1000.7556359057705,7,83.74,-4
998.5682734680468,3,83.49,-4
999.4015464291828,11,83.91,4096
1004.3515464291828,11,84.36,4096
1000.9459407308989,7,83.96,-4
999.6018698813549,3,84.15,-4
991.2733457838317,11,83.61,4096
996.8833457838317,11,84.12,4096
1000.9533457838317,11,84.49,4096
996.8833457838317,11,84.12,4096
982.9133457838316,11,82.85,4096
969.4933457838316,11,81.63,4096
980.505727087432,7,81.64,-4
977.0715492851461,3,81.24,-4
970.0321359341048,12,80.48,4096
978.6729096659022,8,81.44,-4
981.8224278338103,12,81.76,4096
980.3677635284678,8,81.55,-4
975.5022762067088,12,81.06,4096
975.262615280231,8,80.88,-4
947.1292678903296,12,78.5,4096
948.4492678903296,12,78.61,4096
934.4092678903296,12,77.44,4096
942.9720464200167,8,78.7,-4
958.4128487621514,11,80.31,4096
975.2428487621513,11,81.84,4096
965.9141052477806,7,80.71,-4
